id,name,type,rate,accuracy,range,stat,damage,effect1,effect2,contest
465,"Vice Grip",Normal,At-Will,2,Melee,ATK,2d10+8,"1 Target",,"Tough - 3d4 - No Effect"
466,"Weather Ball",Normal,Battle,2,"Ranged (10)",SATK,2d8+6,"1 Target","If it is Sunny, Weather Ball is Fire-Type. If it is Rainy, Weather Ball is Water-Type. If it is Hailing, Weather Ball is Ice-Type. If it is Sandstorming, Weather Ball is Rock-Type. When a weather effect is on the field, Weather Ballâ€™s Damage Dice Roll is 4d12+16. If there are multiple Weather Effects on the field, choose one type for Weather Ball to be that corresponds with an existing Weather Effect.","Smart - 2d4 - Incentives"
467,Whirlwind,Normal,Center,2,"Ranged (6)",,,"1 Target, Push","The target is Pushed 40-meters expelling them from the encounter if the terrain allows. They may still rejoin the encounter if they want to. During a trainer battle, the targetâ€™s owner must recall the Pushed target and replace them.","Smart - None - Big Show"
468,Wish,Normal,Center,0,"Ranged (15)",,,"1 Target","At the end of the targetâ€™s next turn, the target regains HP equal to half of its full HP. If the user targets themselves and are replaced in battle, the replacement is healed.","Cute - None - Reflective Appeal"
469,"Work Up",Normal,EOT,0,Self,,,"No Target","Raise the userâ€™s Attack 1 Combat Stage and raise the userâ€™s Special Attack 1 Combat Stage.","Tough - None - Get Ready!"
470,Wrap,Normal,EOT,4,Melee,ATK,1d6+3,"1 Target, Trap","Wrap Traps the target and the user for 1d4+1 turns. At the beginning of the targetâ€™s turn, if the target is Trapped, roll 1d12 and the target loses that much HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Wrap may not trap more then one target at a time unless the user is Huge or Gigantic.","Tough - None - Torrential Appeal"
471,"Wring Out",Normal,Battle,2,Melee,SATK,5d12+18,"1 Target","For every 10% the target is below their full HP, Wring Outâ€™s Damage Dice Roll is reduced by 1d12 to a minimum of 18.","Smart - 2d4 - Seen Nothing Yet"
472,Yawn,Normal,Battle,0,"Ranged (4)",,,"No Target, Burst","Yawn creates a 4-meter Burst. All targets fall Asleep at the end of their next turn. Yawn cannot miss.","Cute - 2d4 - Excitement"
473,Acid,Poison,At-Will,2,"Ranged (6)",SATK,1d12+6,"1 Target","Acid lowers the targetâ€™s Defense 1 Combat Stage on 18-20 during Accuracy Check.","Smart - 3d4 - No Effect"
474,"Acid Armor",Poison,EOT,0,Self,,,"No Target","Raise the userâ€™s Defense 2 Combat Stages.","Tough - None - Get Ready!"
475,"Acid Spray",Poison,EOT,2,"Ranged (3)",SATK,1d12+6,"1 Target, Column","Acid Spray creates a Column 1 meter wide. Acid Spray lowers all Legal Targetsâ€™ Special Defense 2 Combat Stages.","Smart - 2d4 - Unsettling"
476,Belch,Poison,Center,3,"Ranged (3)",SATK,5d10+25,"1 Target","Belch can only be used if the user has eaten a Berry they were holding during the same encounter.","Tough - 3d4 - No Effect"
477,"Clear Smog",Poison,Battle,0,"Ranged (10)",SATK,2d8+6,"1 Target","The targetâ€™s Combat Stages are reset to 0.","Smart - 2d4 - Hold That Thought"
478,Coil,Poison,Battle,0,Self,,,"No Target","Raise the userâ€™s Attack 1 Combat Stage and raise the userâ€™s Defense 1 Combat Stage. For the remainder of Combat, the user needs -1 on Accuracy Checks to hit.","Cute - None - Get Ready!"
479,"Cross Poison",Poison,EOT,2,Melee,ATK,3d8+10,"1 Target, Pass","Cross Poison is a Critical Hit on 18-20 during Accuracy Check. Cross Poison Poisons the target on a Critical Hit during Accuracy Check.","Cool - 3d4 - No Effect"
480,"Gastro Acid",Poison,Battle,2,"Ranged (8)",,,"1 Target","The targetâ€™s ability is disabled until the end of the encounter. If the target has more then one ability, Gastro Acid disables one of them.","Beauty - 2d4 - Hold That Thought"
481,"Gunk Shot",Poison,Center,7,"Ranged (8)",SATK,5d12+18,"Target Area, Blast","Gunk Shot creates a 3-meter Blast. Gunk Shot Poisons all Legal Targets on 11-20 during Accuracy Check. On Miss, Gunk Shot deals the userâ€™s Special Attack to potential targets but cannot Poison.","Cool - 3d4 - No Effect"
482,"Poison Fang",Poison,EOT,2,Melee,ATK,2d8+6,"1 Target","Poison Fang Badly Poisons the target on 17-20 during Accuracy Check.","Smart - 2d4 - Incentives"
483,"Poison Gas",Poison,EOT,6,"Ranged (4)",,,"No Target, Burst","Poison Gas makes a 4-meter Burst. Poison Gas Poisons all Legal Targets.","Smart - 3d4 - No Effect"
484,"Poison Jab",Poison,EOT,2,Melee,ATK,3d10+12,"1 Target","Poison Jab Poisons the target on 15-20 during Accuracy Check.","Smart - 2d4 - Incentives"
485,"Poison Sting",Poison,At-Will,2,"Ranged (6)",ATK,1d6+3,"1 Target","Poison Sting Poisons the target on 17-20 during Accuracy Check.","Smart - 2d4 - Excitement"
486,"Poison Tail",Poison,At-Will,2,Melee,ATK,2d8+6,"1 Target, Pass","Poison Tail is a Critical Hit on 18-20 during Accuracy Check. Poison Tail Poisons the target on 19-20 during Accuracy Check.","Smart - 2d4 - Incentives"
487,Poisonpowder,Poison,EOT,6,"Ranged (4)",,,"1 Target, Blast","Poisonpowder creates a 1-meter Blast. Poisonpowder Poisons all Legal Targets.","Smart - 2d4 - Excitement"
488,Sludge,Poison,EOT,2,"Ranged (8)",SATK,3d8+10,"1 Target, Column","Sludge creates a Column 2-meters wide. Sludge poisons all Legal Targets on 15-20 during Accuracy Check.","Tough - 2d4 - Round Ender"
489,"Sludge Bomb",Poison,Battle,2,"Ranged (8)",SATK,3d12+14,"1 Target, Blast","Sludge Bomb creates a 3-meter Blast. Sludge Bomb poisons all Legal Targets on 15-20 during Accuracy Check.","Tough - 2d4 - Round Ender"
490,"Sludge Wave",Poison,Battle,2,"Ranged (4)",SATK,4d12+16,"1 Target","Sludge Wave makes a Column 4-meters wide. Slime Wave Poisons all legal targets on 19-20 during Accuracy Check.","Cool - 3d4 - No Effect"
491,Smog,Poison,EOT,5,"Ranged (3)",SATK,1d6+3,"1 Target, Blast","Smog creates a 3-meter Blast. Smog Poisons all Legal Targets on 13-20 during Accuracy Check.","Tough - 3d4 - No Effect"
492,Toxic,Poison,Battle,4,"Ranged (4)",,,"1 Target","The target is Badly Poisoned.","Smart - 2d4 - Excitement"
493,"Toxic Spikes",Poison,EOT,0,Effect,,,"Target Area, Hazard","Set 10 square meters of Toxic Spikes, all 10 meters must be adjacent with at least one other space of Toxic Spikes next to each other. Toxic Spikes Poisons a foe when moving onto or over the occupied spaces with an Overland Capability. If there are 2 Layers of Toxic Spikes on the same space, it Deadly Poisons the foes instead.","Smart - 2d4 - Hold That Thought"
494,"Venom Drench",Poison,EOT,2,"Ranged (6)",,,"1 Target","If the target is Poisoned, Venom Drench lowers the targetâ€™s Attack 1 Combat Stage, Special Attack 1 Combat Stage and Speed 1 Combat Stage.","Smart - 2d4 - Incentives"
495,Venoshock,Poison,Battle,2,"Ranged (4)",SATK,3d8+10,"1 Target","If the target is Poisoned, Venoshock deals 5d12+22 instead during Damage Dice Roll.","Smart - 2d4 - Incentives"
496,Agility,Psychic,EOT,0,Self,,,"No Target","Raise the userâ€™s Speed 2 Combat Stages.","Cool - 2d4 - Quick Set"
497,"Ally Switch",Psychic,Battle,0,Self,,,"1 Target, Intercept","Choose one willing ally, shift the userâ€™s position to the allyâ€™s position and shift the allyâ€™s position to the userâ€™s position, trading places. If the ally was a target of a Move, the user is now the target. If the user was a target of a Move, the ally is now the target.","Cool - 2d4 - Scrambler"
498,Amnesia,Psychic,EOT,0,Self,,,"No Target","Raise the userâ€™s Special Defense 2 Combat Stages.","Cute - None - Get Ready!"
499,Barrier,Psychic,EOT,0,Self,,,"No Target","Raise the userâ€™s Defense 2 Combat Stages.","Cool - 2d4 - Hold That Thought"
500,"Calm Mind",Psychic,EOT,0,Self,,,"No Target","Raise the userâ€™s Special Attack 1 Combat Stage and raise the userâ€™s Special Defense 1 Combat Stage.","Smart - None - Get Ready!"
501,Confusion,Psychic,At-Will,2,"Ranged (10)",SATK,2d8+6,"1 Target","Confusion Confuses the target on 19-20 during Accuracy Check.","Smart - 3d4 - No Effect"
502,"Cosmic Power",Psychic,EOT,0,Self,,,"No Target","Raise the userâ€™s Defense 1 Combat Stage and raise the userâ€™s Special Defense 1 Combat Stage.","Cool - None - Get Ready!"
503,"Dream Eater",Psychic,EOT,2,Melee,SATK,4d12+16,"1 Target","Dream Eater can only target someone Asleep. After the target takes damage, the user gains HP equal to half of the damage they dealt to the target.<br/>Grants: Dream Smoke","Smart - 1d4 - Good Show!"
504,Extrasensory,Psychic,EOT,2,"Ranged (5)",SATK,3d10+12,"1 Target","Extrasensory Flinches the target on 19-20 during Accuracy Check.","Cool - 2d4 - Round Starter"
505,"Future Sight",Psychic,Center,2,"Ranged (10)",SATK,4d12+16,"1 Target, Column","Future Sight does nothing on the turn it is used. At the end of the second turn after Future Sightâ€™s use, use Future Sightâ€™s damage and effect. Future Sight creates a Column 1 meter wide, which starts from anywhere on the field. Future Sight is Typeless.","Smart - 2d4 - Round Starter"
506,Gravity,Psychic,Battle,0,Effect,,,"Target Area, Weather","For 1d4+1 rounds, the area is considered Warped. While Warped, Moves that involve the user being airborne may not be used. Flying-Types and Pokemon with the Ability Levitate are no longer immune to Ground-Type Moves. All Accuracy Checks are lowered by -2. Warped does not replace other Weather effects.","Beauty - 2d4 - Hold That Thought"
507,"Guard Split",Psychic,Battle,0,Melee,,,"1 Target","Choose between Defense and Special Defense. The target reveals the value of whichever stat you chose, and then adds it to the userâ€™s stat of the same choice. Divide the total by two and call the result X. For the remainder of the encounter, the target and the userâ€™s stat that you chose is X.","Cute - None - Inversed Appeal"
508,"Guard Swap",Psychic,Battle,0,Melee,,,"1 Target","The user trades all Combat Stages related to Defense and Special Defense with the target. It is okay for the user or the target to exchange Combat Stages, positive or negative, for none. Guard Swap cannot miss.","Cute - None - Inversed Appeal"
509,"Heal Block",Psychic,EOT,2,"Ranged (10)",,,"1 Target","For 1d4+1 turns, the target may not gain HP by itself or be healed.","Cute - 2d4 - Hold That Thought"
510,"Healing Wish",Psychic,Center,0,"Ranged (10)",,,"1 Target, Intercept","If the userâ€™s HP is lowered to 0 or less, you may use Healing Wish as an Intercept. The target is treated as if it had been healed at a Pokemon Center. Healing Wish may target a pokemon in a Poke Ball as long as they immediately join the encounter or are sent out. If the target knows Healing Wish or Lunar Dance, the userâ€™s Healing Wish does not restore its Center Frequency.","Cute - None - Torrential Appeal"
511,"Heal Pulse",Psychic,Center,0,"Self (2)",,,"No Target, Burst","Heal Pulse creates a 2-meter Burst. Restores 50% of all Legal Targets max HP. Heal Pulse does not target the user.<br/>Grants: Aura","Beauty - None - Reflective Appeal"
512,"Heart Stamp",Psychic,EOT,2,Melee,ATK,2d10+8,"1 Target","Heart Stamp Flinches the target on 15-20 during Accuracy Check.","Cute - 3d4 - No Effect"
513,"Heart Swap",Psychic,Center,0,"Ranged (25)",,,"2 Targets","The targets trade their Combat Stages, both positive and negative.","Cool - None - Inversed Appeal"
514,Hypnosis,Psychic,Battle,6,"Ranged (4)",,,"1 Target","The target falls Asleep.","Smart - 2d4 - Excitement"
515,Imprison,Psychic,Battle,0,"Ranged (10)",,,"1 Target","The target is Locked. A Locked target may not use any Moves the user knows. Each user may only make 1 target Locked at a time. Using Imprison on a new target transfers Locked to the new target. Imprison cannot miss.","Smart - 1d4 - Good Show!"
516,Kinesis,Psychic,EOT,0,"Ranged (3)",,,"No Target, Wall","Place 5-meters of Wall. If anyoneâ€™s Move tries to target through a Kinesis Wall, they must roll +3 during Accuracy Check to hit. The walls remain for 5 rounds. Brick Break cannot break Kinesisâ€™ Walls.","Smart - None - Get Ready!"
517,"Light Screen",Psychic,EOT,0,Melee,,,"No Target, Wall","The user may shift while placing Light Screen Walls if their Speed allows for the extra movement. Place 5-meters of Wall. If a foe tries to target Light Screenâ€™s user or the userâ€™s allies through Light Screen Walls, treat the target as if their Special Defense is raised 2 Combat Stages. This bonus cannot be awarded more then once. The walls sustain for 1d4+1 turns.","Beauty - 2d4 - Hold That Thought"
518,"Lunar Dance",Psychic,Center,0,"Ranged (25)",,,"1 Target, Intercept","If the userâ€™s HP is lowered to 0 or less, you may use Lunar Dance as an Intercept. The target is treated as if it had been healed at a Pokemon Center. Healing Wish may target a pokemon in a Poke Ball as long as they immediately join the encounter or are sent out. If the target knows Healing Wish or Lunar Dance, the userâ€™s Lunar Dance does not restore its Center Frequency.","Beauty - None - Torrential Appeal"
519,"Luster Purge",Psychic,Center,2,"Ranged (15)",SATK,3d8+10,"1 Target, Column, Blast","Luster Purge creates a Column 1 meter wide, Luster Purge creates a 5-meter Blast. Luster Purge lowers all Legal Targets Special Defense 1 Combat Stage on 11-20 during Accuracy Check.","Smart - 2d4 - Seen Nothing Yet"
520,"Magic Coat",Psychic,Center,0,"Ranged (4)",,,"1 Target, Intercept","If the user is about to get a hit by a Move that does not have a Damage Dice Roll, they may use Magic Coat as an Intercept. The Intercepted Moveâ€™s user is treated as if they were the target of their own Move.","Beauty - 2d4 - Final Appeal"
521,"Magic Room",Psychic,Center,0,Effect,,,"Target Area, Weather","For 1d4+1 rounds, the area is considered Useless. While Useless, Pokemon may not use the effects of any Held items or activate any Held items. Useless does not replace other Weather effects.","Cute - 2d4 - Scrambler"
522,Meditate,Psychic,At-Will,0,Self,,,"No Target","Raise the userâ€™s Attack 1 Combat Stage.","Beauty - None - Get Ready!"
523,"Miracle Eye",Psychic,At-Will,0,Self,,,"No Target","The userâ€™s Psychic-Type Moves can now hit and affect Dark-Type targets. Miracle Eyeâ€™s user is unaffected by the effects of Moves which make them have to roll higher during Accuracy Checks to hit. Targets may not use their Speed stat to modify Accuracy Checks. Miracle Eyeâ€™s user can identify the real target using Double Team.","Cute - 1d4 - Good Show!"
524,"Mirror Coat",Psychic,Battle,0,"Ranged (20)",,,"1 Target, Intercept","If the user is being hit by a Move that consults Special Attack for damage, you may use Mirror Coat. If the user survives the hit, the target is dealt damage equal to twice the amount of damage the user received. Do not apply weakness, resistance or immunity. Do not apply stats.","Beauty - 2d4 - Final Appeal"
525,"Mist Ball",Psychic,Center,2,"Ranged (10)",SATK,3d8+10,"1 Target, Column, Blast","Mist Ball creates a Column 1 meter wide and creates a 5-meter Blast. Mist Ball lowers all Legal Targets Special Attack 1 Combat Stage on 6-20 during Accuracy Check.","Smart - 2d4 - Seen Nothing Yet"
526,"Power Split",Psychic,Battle,0,Melee,,,"1 Target","Choose between Attack and Special Attack. The target reveals the value of whichever stat you chose, and then adds it to the userâ€™s stat of the same choice. Divide the total by two and call the result X. For the remainder of the encounter, the target and the userâ€™s stat that you chose is X.","Beauty - None - Inverse Appeal"
527,"Power Swap",Psychic,Battle,0,Melee,,,"1 Target","The user trades all Combat Stages related to Attack and Special Attack with the target. It is okay for the user or the target to exchange Combat Stages, positive or negative, for none. Power Swap cannot miss.","Beauty - None - Inverse Appeal"
528,"Power Trick",Psychic,Battle,0,Self,,,"No Target","The userâ€™s Attack stat and Defense stat are switched for 1+1d8 rounds.","Cool - None - Inversed Appeal"
529,Psybeam,Psychic,EOT,2,"Ranged (7)",SATK,3d8+10,"1 Target, Column","Psybeam creates a Column 1 meter wide. Psybeam Confuses all Legal Targets on 19-20 during Accuracy Check.","Beauty - 2d4 - Round Starter"
530,Psychic,Psychic,Battle,2,"Ranged (10)",SATK,3d12+14,"1 Target, Push","The target is Pushed 5-meters in any direction. Psychic lowers the targetâ€™s Special Defense 1 Combat Stage on 17-20 during Accuracy Check.<br/>Grants: Telekinetic","Smart - 2d4 - Round Starter"
531,"Psycho Boost",Psychic,Center,4,"Ranged (10)",SATK,6d12+22,"Target Area, Blast","Psycho Boost creates a 4-meter Blast. Lower the userâ€™s Special Attack 2 Combat Stages after damage.","Smart - 2d4 - Seen Nothing Yet"
532,"Psycho Cut",Psychic,EOT,2,"Ranged (6)",ATK,3d8+10,"1 Target","Psycho Cut is a Critical Hit on 18-20 during Accuracy Check.","Cool - 2d4 - Round Starter"
533,"Psycho Shift",Psychic,Center,0,Melee,,,"1 Target","The user is cured of a Status ailment and the target is given that Status ailment. Psycho Shift cannot miss. Psycho Shift can only be used if the user has a Status ailment and the target does not have the status ailment that is being transferred.","Cool - None - Inversed Appeal"
534,Psyshock,Psychic,EOT,2,"Ranged (4)",SATK,2d10+12,"1 Target","When calculating damage, the target must use their Defense against Psyshock.","Smart - 2d4 - Incentives"
535,Psystrike,Psychic,Center,2,"Ranged (4)",SATK,4d12+16,"1 Target","When calculating damage, the target must use their Defense against Psystrike.","Smart - 2d4 - Incentives"
536,Psywave,Psychic,Battle,5,"Ranged (4)",,,"1 Target, Column","Psywave creates a Column 2-meters wide. Roll 1d4; on 1 and 2 all Legal Targets lose HP equal to half the userâ€™s level; on 3, all Legal Targets lose HP equal to the userâ€™s level; on 4 all Legal Targets lose HP equal to 1.5x the userâ€™s level. Do not apply weakness, resistance or immunity. Do not apply stats.","Smart - 3d4 - No Effect"
537,Reflect,Psychic,EOT,0,Melee,,,"No Target, Wall","The user may shift while placing Reflect Walls if their Speed allows for the extra movement. Place 5-meters of Wall. If a foe tries to target Reflectâ€™s user or the userâ€™s allies within two meters of a Reflect Wall, treat the target as if their Defense is raised 2 Combat Stages. This bonus cannot be awarded more then once. The walls remain for 1d4+1 turns.","Smart - 2d4 - Excitement"
538,Rest,Psychic,Center,0,Self,,,"No Target","The userâ€™s HP is set to their full HP. The user is cured of any Status ailments. Then, the user falls Asleep. The user cannot make Sleep Checks at the beginning of their turn. They are cured of the Sleep at the end of their turn, in 2 rounds.","Cute - None - Reflective Appeal"
539,"Role Play",Psychic,Battle,0,"Ranged (10)",,,"1 Target","Add one of the target's Ability to the user's Abilities for 1+1d8 rounds. Role Play cannot miss.","Cute - 1d4 - Catching Up"
540,"Skill Swap",Psychic,Battle,0,Melee,,,"1 Target","The user loses their Abilities and gains the targetâ€™s Abilities for the remainder of encounter. The target loses their Abilities and gains the userâ€™s Abilities for the remainder of the encounter.","Smart - None - Excitement"
541,"Stored Power",Psychic,Battle,2,"Ranged (10)",SATK,1d6+3,"1 Target","For every Combat Stage the user is above 0, in each stat, add 1d10 to Stored Powerâ€™s Damage Dice Roll.","Tough - 2d4 - Incentives"
542,Synchronoise,Psychic,Battle,2,"Ranged (6)",SATK,3d8+12,"No Target, Burst","Synchronoise creates a 6-meter Burst. Synchronoise can only hit legal targets that share a type with Synchronoiseâ€™s user.","Smart - 2d4 - Incentives"
543,Telekinesis,Psychic,Battle,0,"Ranged (10)",,,"1 Target","For 1d4+1 turns, the target is immune to Ground-type Moves and whenever the target is targeted by a Move, the Moveâ€™s user needs -5 to hit. Telekinesisâ€™ effect cannot stack, if a target is already under the effect of Telekinesis, the newest successful instance of Telekinesis replaces the old one.<br/>Grants: Telekinetic","Smart - 3d4 - No Effect"
544,Teleport,Psychic,Battle,0,Self,,,"No Target, Intercept","Teleport can be used as an Intercept at any time. If used as an Intercept, roll 1d20 and if you donâ€™t roll 7 or higher, Teleport fails to activate. The user can shift 1d10+10 meters. They can move through blocking terrain and hindering terrain as if it is regular terrain. Moves that targeted Teleportâ€™s user continues through the desired targetâ€™s space if the Move allows for it. If Teleport fails when used as an Intercept, treat it as if you did not use it for purposes of Frequency.","Cool - 2d4 - Quick Set"
545,Trick,Psychic,Battle,2,"Ranged (5)",,,"2 Targets","Both targets must be hit for Trick to succeed. If Trick targets the user, you do not need to roll an Accuracy Check for the user. Both targets lose their Held Item, and gain the other targetâ€™s Held Item. If a target has no Held Item, the still can gain the other targetâ€™s Held Item.","Smart - None - Attention Grabber"
546,"Trick Room",Psychic,Center,0,Effect,,,"Target Area, Weather","For 1d4+1 rounds, the area is considered Rewinding. While Rewinding, the order in which combatants go during a round of Combat isnâ€™t ordered from highest Speed to lowest Speed; instead it is order from lowest Speed to Highest Speed. Rewinding does not replace other Weather effects.","Cute - 2d4 - Scrambler"
547,"Wonder Room",Psychic,Center,0,Effect,,,"Target Area, Weather","For 1d4+1 rounds, the area is considered Wondered. While Wondered, each individual Pokemonâ€™s Defense and Special Defense are switched. Wondered does not replace other Weather effects.","Cute - 2d4 - Scrambler"
548,"Zen Headbutt",Psychic,EOT,4,Melee,ATK,3d10+12,"1 Target, Dash","Zen Headbutt Flinches the target on 15-20 during Accuracy Check.","Beauty - 2d4 - Round Ender"
549,"Ancient Power",Rock,Battle,2,"Ranged (8)",SATK,2d10+8,"1 Target, Column, Spirit Surge","Ancientpower creates a Column that is 2-meters wide. If you rolled 11-20 during Accuracy Check for Ancientpower, the user has each of its stats raised 1 Combat Stage. If you rolled 16-20 on the Accuracy Roll, all allies in the Column also have each of their stats raised 1 Combat Stage and are not damaged by Ancientpower.","Tough - 2d4 - Round Ender"
550,"Head Smash",Rock,Battle,5,Melee,ATK,7d10+28,"1 Target, Dash, Push, Recoil 1/2","The target is pushed back 5-meters. The target takes an additional 1d12 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d12. After Head Smash deals damage, Recoil.","Tough - 2d4 - Seen Nothing Yet"
551,"Power Gem",Rock,EOT,2,"Ranged (8)",SATK,3d8+10,"1 Target",,"Beauty - 3d4 - No Effect"
552,"Rock Blast",Rock,EOT,5,"Ranged (6)",ATK,1d10+4,"1 Target, Scatter, Trap","Rock Blast can hit up to 5 times. Once the user misses, they cannot attempt to make another Rock Blast attack on that turn.<br/>Grants: Materializer","Tough - 2d4 - Reliable"
553,"Rock Polish",Rock,EOT,0,Self,,,"No Target","Raise the userâ€™s Speed 2 Combat Stages.","Tough - 2d4 - Round Starter"
554,"Rock Slide",Rock,Battle,4,"Ranged (4)",ATK,3d10+12,"1 Target, Column","Rock Slide creates a Column 4-meters wide. Rock Slide Flinches all Legal Targets on 17-20 during Accuracy Check.","Tough - 3d4 - No Effect"
555,"Rock Throw",Rock,EOT,4,"Ranged (8)",ATK,2d8+6,"1 Target",,"Tough - 3d4 - No Effect"
556,"Rock Tomb",Rock,Battle,5,"Ranged (6)",ATK,2d8+6,"1 Target, Blast","Rock Tomb creates a 3-meter Blast. Rock Tomb lowers all Legal Targets Speed 1 Combat Stage.<br/>Grants: Materializer","Smart - 2d4 - Slow Set"
557,"Rock Wrecker",Rock,Center,4,Melee,ATK,7d10+28,"1 Target, Pass, Exhaust","On Miss, Rock Wrecker deals the userâ€™s Attack instead to all possible targets.<br/>Grants: Materializer","Tough - 2d4 - Seen Nothing Yet"
558,Rollout,Rock,EOT,4,Melee,ATK,1d10+4,"1 Target, Pass","The user must use Rollout until it misses, or fails to be able to shift enough to hit a target for their next 4 turns. On the second turn, Rollout uses 2d10+8 for its Damage Dice Roll. On the third turn, Rollout uses 2d10+12. On the fourth turn, Rollout uses 3d10+16. On the fifth and final turn, Rollout uses 4d10+10.","Tough - 2d4 - Reliable"
559,Sandstorm,Rock,Battle,0,Effect,,,"Target Area, Weather","For 1d4+1 rounds, the area is considered Sandstorming. At the beginning of each round, all non-Ground, Rock, or Steel Type Pokemon lose 1/16th of their full HP. Rock Type Pokemon are treated as if their Special Defense is raised 2 Combat Stages while Sandstorming.","Tough - 2d4 - Hold That Thought"
560,"Smack Down",Rock,Battle,2,"Ranged (8)",ATK,2d8+6,"1 Target","If the target is Flying-type or is floating because of Magnet Rise, Telekenisis, or Levitate, then the target is no longer immune to Ground-type Moves for 1d4+1 turns.","Tough - 3d4 - No Effect"
561,"Stealth Rock",Rock,Battle,0,Effect,,,"No Target, Hazard","Set 5 square meters of Stealth Rock, â€œRocks.â€ All 5 Rocks must be adjacent with at least one other space of Rocks next to each other. If a foe moves within 10 meters of a space occupied by Rocks, move at most one Rock to the offender, then destory the Rock. When that happens, Stealth Rock causes a foe to lose 1/8th of their full HP. Stealth Rock is considered to be dealing damage. Apply Weakness and Resistance. Do not apply stats. A Pokemon who has been hit by a Stealth Rock Hazard cannot get hit by another in the same encounter until it is returned to a Poke Ball and then sent back out.<br/>Grants: Materializer","Cool - 2d4 - Hold That Thought"
562,"Stone Edge",Rock,Battle,5,"Ranged (8)",ATK,4d12+16,"1 Target, Dash","Stone Edge is a Critical Hit on 17-20 during Accuracy Check.","Tough - 2d4 - Incentives"
563,"Wide Guard",Rock,Center,0,Self,,,"No Target, Intercept","If a foe uses Move that hits multiple targets and Wide Guardâ€™s user is one of the targets you may use Wide Guard as an Interrupt. If a Move would hit the user and one of the userâ€™s allies, the Move only hits Wide Guardâ€™s user. If the user is hit by a Move this way, the user does not take any damage and is not affected by any other effects the Move has. This Effect lasts for one turn.","Tough - None - Inversed Appeal"
564,Autotomize,Steel,Battle,0,Self,,,"No Target","For the remainder of the Encounter, the userâ€™s Wieght Class is one value lower, to a minimum of 1. Raise the userâ€™s Speed 2 Combat Stages.","Smart - None - Get Ready!"
565,"Bullet Punch",Steel,At-Will,2,Melee,ATK,1d12+6,"1 Target, Interrupt","If a foe wants to declare a Move, you may instead use Bullet Punch on their turn before they can use their Move.","Smart - 2d4 - Quick Set"
566,"Doom Desire",Steel,Center,2,"Ranged (15)",SATK,6d12+22,"1 Target, Column","Doom Desire does nothing on the turn it is used. At the end of the second turn after Doom Desireâ€™s use, use Doom Desireâ€™s damage and effect. Doom Desire creates a Column 1 meter wide, which starts from anywhere on the field. Doom Desire is Typeless.","Cool - 2d4 - Interrupting Appeal"
567,"Flash Cannon",Steel,EOT,2,"Ranged (10)",SATK,3d10+12,"1 Target","Flash Cannon lowers the targetâ€™s Special Defense 1 Combat Stage on 17-20 during Accuracy Check.","Smart - 2d4 - Round Starter"
568,"Gear Grind",Steel,EOT,3,Melee,ATK,2d8+6,"1 Target, Scatter","Gear Grind can hit up to 2 times. If Gear Grind misses its first target, you may still use it a second time.","Cool - 2d4 - Reliable"
569,"Gyro Ball",Steel,Center,0,"Ranged (6)",ATK,1d12+6,"1 Target","For every 10 Speed the target is above the user, add 1d12 to the Damage dice Roll. Gyro Ball cannot miss.","Beauty - 2d4 - Final Appeal"
570,"Heavy Slam",Steel,Battle,2,Melee,ATK,"See Effect","1 Target","If the user is in the same Weight Class as the target, use 1d10 for Damage Dice Roll; if the user is one Weight Class higher than the target, use 1d10+10; if the user is two Weight Classes higher than the target, use 2d12+12; if three classes, 3d10+14; if four classes, 5d10+16.","Tough - 2d4 - Incentives"
571,"Iron Defense",Steel,EOT,0,Self,,,"No Target","Raise the userâ€™s Defense 2 Combat Stages.","Tough - 2d4 - Hold That Thought"
572,"Iron Head",Steel,EOT,2,Melee,ATK,3d10+12,"1 Target, Dash","Iron Head Flinches the target on 15-20 during Accuracy Check.","Tough - 2d4 - Round Ender"
573,"Iron Tail",Steel,EOT,6,Melee,ATK,4d12+16,"1 Target, Pass","Iron Tail lowers the targetâ€™s Defense 1 Combat Stage on 19-20 during Accuracy Check.","Cool - 2d4 - Round Ender"
574,"Kingâ€™s Shield",Steel,Center,0,Self,,,"No Target, Intercept","If the user is hit by a Move with a Damage Dice Roll, instead you are not hit by the Move. You do not take any damage nor are you affected by any of the Moveâ€™s effects. If the Move was Melee ranged, the attackerâ€™s Attack is lowered 2 Combat Stages.","Tough - 3d4 - No Effect"
575,"Magnet Bomb",Steel,EOT,0,"Ranged (8)",ATK,2d10+8,"1 target","Magnet Bomb cannot miss.<br/>Grants: Magnetic","Cool - 3d4 - No Effect"
576,"Metal Burst",Steel,Battle,2,"Ranged (3)",ATK,"See Effect","No Target, Burst","Metal Burst may only be used if the user didnâ€™t move first in the round and the user has taken damage from a Move this round. The Target is dealt damage equal to 1.5x the amount of damage the user received during the last Move that hit it. Do not apply weakness, resistance or immunity. Do not apply stats.","Beauty - 2d4 - Final Appeal"
577,"Metal Claw",Steel,At-Will,3,Melee,ATK,2d8+6,"1 Target, Pass, Spirit Surge","Raise the userâ€™s Attack 1 Combat Stage on 18-20 during Accuracy Check.","Cool - 2d4 - Incentives"
